@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
c,1617,8382,0,0,0,0,1176,514,73,73,7352,10294,1759,9061,3618124,6485,872,-5039,213817,-474955,-109757,9912,399956
c,1487,8512,0,0,0,0,1735,1239,82,82,14049,12396,1719,9246,3561084,7819,-6108,2122,334986,17997,168055,9855,400474
c,390,9609,0,0,0,0,703,625,0,0,3906,10937,1433,9666,3810712,6955,1930,-5387,421501,-441482,-242979,9873,401154
c,3240,6759,0,0,0,0,1481,370,0,0,11111,16666,2761,9349,3213957,7077,2617,-5967,350770,-382521,89075,9868,383981
c,973,9026,0,0,0,0,973,88,0,0,4424,7964,887,9496,3761309,6023,1903,-5924,598097,-53648,168365,9874,400094
c,1308,8691,0,0,0,0,2429,934,0,0,7476,14018,1376,9853,3555164,7769,-4404,2356,450069,-204418,99812,9865,396762
c,619,9380,0,0,0,0,1592,619,88,0,15044,10619,667,9299,3736691,7749,-4817,3154,534253,-323483,78342,9861,392509
c,2571,7428,0,0,0,0,2190,571,95,0,952,17142,4039,9810,3307684,5719,2841,-5364,200214,-525493,142706,9872,410133
c,964,9035,0,0,0,0,2105,526,87,87,6140,9649,1307,9147,3608715,5492,1388,-5298,239888,-231572,75546,9850,396304
c,2016,7983,0,0,0,0,1512,1176,168,168,11764,11764,1651,9249,3748886,6787,1672,-6162,176682,-523092,339849,9885,403370
c,1698,8301,0,0,0,0,1603,1132,283,94,11320,14150,1904,9608,3654488,5863,1530,-5494,281503,-483508,-46533,9842,387305
c,1016,8983,0,0,0,0,1949,593,0,0,5932,6779,1229,9525,3842739,6232,1085,-6264,313674,-405979,24222,9849,403654
c,1403,8596,0,0,0,0,2456,877,0,438,13157,18421,1302,9882,3784093,5982,-5970,4842,208590,31722,334369,9842,386517
c,1680,8320,0,0,0,0,1760,1200,160,160,7199,17600,1726,8826,3867653,6200,1136,-6950,81115,-376002,345238,9885,397231
c,1282,8717,0,0,0,0,1367,341,0,0,3418,14529,1617,9775,3605272,6432,1252,-5443,197110,-256956,-186300,9858,393946
c,517,9482,0,0,0,0,1637,775,0,0,5172,7758,683,9694,3901703,6141,1375,-4597,371416,-84222,-13936,9862,411766
c,1333,8666,0,0,0,0,2190,952,0,0,6666,19047,1365,9185,3721231,6816,2076,-6364,203981,-411251,-88305,9857,394442
c,1219,8780,0,0,0,0,1788,731,162,81,1626,13821,1129,9359,3817578,5476,2126,-4904,168302,-377082,-21546,9875,402559
c,1065,8606,327,0,0,0,1803,1065,245,0,7377,13114,1421,8645,3671370,5820,1267,-4732,133549,-318289,207596,9889,403229
c,1007,8992,0,0,0,0,1726,359,0,71,5035,10071,1021,9511,3913956,4519,867,-4409,287246,-386463,-123161,9880,396853
c,869,9130,0,0,0,0,1376,507,72,0,4347,7246,1596,9569,3685822,4988,1846,-3798,263384,31306,16605,9898,400924
c,963,9036,0,0,0,0,3012,1566,240,120,8433,15662,1130,8614,3975183,5094,1137,-3336,294644,-62391,-214309,9785,411119
c,1964,8035,0,0,0,0,1875,625,178,178,7142,12500,2173,9843,3219340,5905,2547,-4233,52839,-487689,405762,9860,392648
c,1709,8290,0,0,0,0,2393,1452,85,427,8547,7692,2207,9562,3307063,5628,1553,-3998,-181321,-223843,30598,9854,390257
c,512,9487,0,0,0,0,1880,769,85,256,4273,7692,1661,9254,3684576,4350,659,-3224,264062,-31221,-361236,9867,395836
c,743,9256,0,0,0,0,909,495,165,0,2479,7438,1147,9863,3495634,6060,758,-4322,286188,-100434,60584,9866,397395
c,1858,8141,0,0,0,0,1946,1769,88,0,14159,19469,2209,9939,3333900,6653,-6686,4709,-1990,-713187,360922,9843,385944
c,2476,7523,0,0,0,0,2761,1333,190,190,4761,6666,2615,9891,3569951,4388,1326,-3891,169567,-444124,268703,9878,402344
c,916,9083,0,0,0,0,1083,750,83,0,10833,8333,1175,9782,3467569,6452,-8001,3854,65235,-115083,-57376,9857,400947
c,833,9166,0,0,0,0,1818,757,151,0,6818,6818,1492,9596,3679836,5588,166,-3767,296543,-300192,82986,9872,399312
